distance,gravity
1,10.3614
2,10.5785
3,10.7981
4,11.0207
5,11.2467
6,11.4769
7,11.7121
8,11.9535
9,12.2024
10,12.4605
11,12.73
12,13.0137
13,13.3155
14,13.6402
15,13.9942
16,14.3863
17,14.8283
18,15.3359
19,15.931
20,16.6432
21,17.5125
22,18.5921
23,19.9494
24,21.6618
25,23.7992
26,26.3797
27,29.2873
28,32.1709
29,34.4266
30,35.4081
31,34.8266
32,32.9709
33,30.4873
34,27.9797
35,25.7992
36,24.0618
37,22.7494
38,21.7921
39,21.1125
40,20.6432
41,20.331
42,20.1359
43,20.0283
44,19.9863
45,19.9942
46,20.0402
47,20.1155
48,20.2137
49,20.33
50,20.4605
51,20.6024
52,20.7535
53,20.9121
54,21.0769
55,21.2467
56,21.4207
57,21.5981
58,21.7785
59,21.9614
60,22.1464
61,22.3332
62,22.5215
63,22.7111
64,22.9019
65,23.0936
66,23.2862
67,23.4796
68,23.6736
69,23.8682
70,24.0634
71,24.2589
72,24.4549
73,24.6512
74,24.8479
75,25.0448
76,25.242
77,25.4394
78,25.637
79,25.8348
80,26.0328
81,26.231
82,26.4292
83,26.6276
84,26.8261
85,27.0248
86,27.2235
87,27.4223
88,27.6211
89,27.8201
90,28.0191
91,28.2182
92,28.4173
93,28.6165
94,28.8158
95,29.0151
96,29.2144
97,29.4138
98,29.6132
99,29.8126
100,30.0121
